t1_mass,rx_mass,ry_mass,rz_mass,Vx_mass,Vy_mass,Vz_mass,Lam1_mass,Lam2_mass,Lam3_mass,omx_mass,omy_mass,omz_mass,Omx_mass,Omy_mass,Omz_mass,Lam_tr_mas1,Lam_tr_mas2,Lam_tr_mas3,Fi_mas,Fi_mas_tr
0,-435428.056,-4043868.745,5697150.865,4407.121,-6180.556,-4050.16,0,0,0,3e-05,0,0,0,0,0,0,0,0,0,0
1,-431020.683633495,-4050046.95743551,5693097.39683934,4407.62288252118,-6175.8676735633,-4056.77554298766,6.18031593942204e-06,3.09051049344592e-09,9.62061388974056e-05,1.85181291771117e-07,9.66620938622761e-09,0.000533426989619551,2.625493690495,0.000874295779490449,-67.1027704513884,0,0,0.00174532836589831,0.00494384437044122,0.00349065850399562
2,-426612.811936125,-4056220.47795391,5689037.31547313,4408.11966154099,-6171.17216747619,-4063.38640866951,4.98956949862224e-06,3.80028997428638e-09,0.000583147348475732,-3.35136231845061e-06,4.94381233371853e-09,0.00140713480652153,2.93692459017237,0.00103040780532127,-177.012877275488,0,0,0.00349065141522373,0.00450531263743469,0.00698131700797076
2.99999999999998,-422204.446011961,-4062389.29938066,5684970.62558597,4408.61133591841,-6166.46949199014,-4069.99258243694,3.43589380182782e-06,-5.22451470739144e-10,0.00147507326355974,-2.71466982511599e-06,-1.11318121619577e-09,0.00212365001542679,2.88085861872095,-0.00057262294429186,-267.148143989872,0,0,0.00523596383141958,0.00421172938766045,0.0104719755119843
3.99999999999996,-417795.590966209,-4068553.41455152,5680897.33187708,4409.09790453428,-6161.75965738757,-4076.59404970105,2.29716242928018e-06,-7.76605865547686e-09,0.00267003057210534,-1.87041420250627e-06,-4.74468606298404e-09,0.00262280945590121,2.80650687673859,-0.00376824606419174,-329.940029256143,0,0,0.00698126029796156,0.00480217052691635,0.0139626340159679
4.99999999999994,-413386.251905179,-4074712.8163125,5676817.43906026,4409.57936629122,-6157.04267398175,-4083.19079589276,1.52643961498295e-06,-1.56850335938052e-08,0.00406889861392778,-1.25067215991987e-06,-5.84560419256028e-09,0.00294868770486646,2.75191293920058,-0.00808784312906988,-370.933103586476,0,0,0.00872653549837394,0.00622812261409567,0.0174532925199385
5.99999999999992,-408976.433936271,-4080867.49751999,5672730.95186384,4410.05572011365,-6152.31855211677,-4089.78280646291,1.0129645819321e-06,-2.2903761977596e-08,0.00559879052631316,-8.31097209527002e-07,-5.38382048476218e-09,0.0031550840467782,2.71492949225364,-0.0130844690868165,-396.895309434727,0,0,0.0104717841162458,0.00814046096014713,0.0209439510239298
6.9999999999999,-404566.142167948,-4087017.45104071,5668637.87503072,4410.52696494785,-6147.58730216743,-4096.37006688239,6.71998890741139e-07,-2.88302611491348e-08,0.00721100705763802,-5.51555683342981e-07,-4.24794359163835e-09,0.0032838425455829,2.69025925883364,-0.0184370395249231,-413.090625133388,0,0,0.0122170008352472,0.0103031765318775,0.0244346095279231
7.99999999999987,-400155.381709716,-4093162.66975177,5664538.2133183,4410.99309976193,-6142.84893453915,-4102.95256264223,4.45735750821812e-07,-3.33611127269372e-08,0.00887436049916715,-3.65936106783369e-07,-2.98545069147145e-09,0.00336355116565706,2.67384073047774,-0.02394500930581,-423.115413405741,0,0,0.0139621803391453,0.0125980357670942,0.0279252680319054
8.99999999999985,-395744.157672101,-4099303.1465407,5660431.97149848,4411.45412354585,-6138.10345966797,-4109.53027925373,2.95601805664814e-07,-3.66348646862691e-08,0.0105692879930756,-2.42769439969425e-07,-1.85909198405269e-09,0.00341270954657049,2.66290239385124,-0.0294934257174805,-429.296926804804,0,0,0.0157073173118207,0.0149657430591538,0.0314159265358993
9.99999999999983,-391332.475166631,-4105438.87430551,5656319.15435766,4411.91003531141,-6133.35088802036,-4116.10320224853,1.95976207849024e-07,-3.88774585591117e-08,0.0122836486883696,-1.61055116779468e-07,-9.57702252905004e-10,0.00344298281128728,2.65559491260473,-0.0350204573261047,-433.102636376284,0,0,0.0174524064372835,0.0173749600270469,0.0349065850398831
10.9999999999998,-386920.339305807,-4111569.84595465,5652199.76669667,4412.36083409229,-6128.59123009325,-4122.67131717876,1.29857934929506e-07,-4.03209186468286e-08,0.0140099502522343,-1.06843816590722e-07,-2.82328843395775e-10,0.00346163053741564,2.6506900515522,-0.0404947145039531,-435.445795982784,0,0,0.0191974423996896,0.0198083650230405,0.038397243543878
11.9999999999998,-382507.75520309,-4117696.05440711,5648073.8133308,4412.80651894402,-6123.82449641389,-4129.23460961712,8.59680886610432e-08,-4.11679265185133e-08,0.0157435831490034,-7.08789720897376e-08,2.01634448248472e-10,0.00347313971717507,2.64737290137741,-0.0459012681886713,-436.890868505934,0,0,0.0209424198833569,0.0222560816934095,0.0418879020478625
12.9999999999998,-378094.72797287,-4123817.49259241,5643941.29908974,4413.24708894401,-6119.05069753979,-4135.79306515701,5.68242923224853e-08,-4.15813166968948e-08,0.0174817163406038,-4.70192876629937e-08,5.37355034719323e-10,0.00348027360204955,2.64510291980744,-0.0512336368975875,-437.785470403547,0,0,0.0226873335727813,0.0247123611403901,0.0453785605518505
13.9999999999997,-373681.262730453,-4129934.15345065,5639802.22881758,4413.68254319156,-6114.26984405863,-4142.34666941261,3.74628089348301e-08,-4.16854150450445e-08,0.0192226129677281,-3.1190452494948e-08,7.64506019935539e-10,0.00348473059918859,2.64352159654598,-0.0564894287732569,-438.343260815033,0,0,0.0244321781526531,0.0271738107917758,0.0488692190558431
14.9999999999997,-369267.364592031,-4136046.02993253,5635656.6073728,4414.11288080786,-6109.4819465882,-4148.89540801902,2.45907479971917e-08,-4.15719809717298e-08,0.0209652083387168,-2.06894632128151e-08,9.15173739481035e-10,0.00348755353196524,2.64239118128055,-0.0616680784725169,-438.695426501539,0,0,0.0261769483078731,0.0296384105626821,0.0523598775598314
15.9999999999997,-364853.038674666,-4142153.11499939,5631504.43962821,4414.53810093599,-6104.6870157763,-4155.43926663233,1.60236419950406e-08,-4.13071382490095e-08,0.0227088503527562,-1.37230756063839e-08,1.01350924695927e-09,0.0034893823370498,2.64155403538364,-0.0667697292608134,-438.922471114423,0,0,0.0279216387235688,0.0321049511794082,0.0558505360638199
16.9999999999999,-360438.290096267,-4148255.4016232,5627345.73047097,4414.95820274095,-6099.88506230071,-4161.97823092976,1.03123403680417e-08,-4.09377092008149e-08,0.024453140057076,-9.10160362919962e-09,1.07685955770082e-09,0.00349060959923446,2.64090566653421,-0.0717947160123654,-439.073781461815,0,0,0.0296662440851107,0.0345727074319451,0.0593411945678097
18,-356023.123975564,-4154352.88278667,5623180.48480255,4415.37318540962,-6095.07609686902,-4168.51228660974,6.4954948692341e-09,-4.04964136962927e-08,0.0261978337837969,-6.0357791179565e-09,1.1172740023428e-09,0.00349147612112356,2.64037684021026,-0.076743350174768,-439.179650166841,0,0,0.0314107590781283,0.0370412455644663,0.0628318530717931
19.0000000000002,-351607.545432091,-4160445.5514832,5619008.70753872,4415.78304815083,-6090.26013021865,-4175.04141939204,3.93536069045434e-09,-4.00058857677112e-08,0.0279427831075133,-4.00198323654131e-09,1.14290951041579e-09,0.00349212959342862,2.63992171249663,-0.0816158484029444,-439.258656385312,0,0,0.0331551783885263,0.0395103086041475,0.0663225115757814
20.0000000000003,-347191.559586161,-4166533.40071695,5614830.40360949,4416.18779019528,-6085.4371731167,-4181.56561501785,2.20886831095858e-09,-3.94816593513382e-08,0.0296878980152418,-2.65283693954097e-09,1.15917354639644e-09,0.00349266059515671,2.63950995731646,-0.0864123241398926,-439.322194626117,0,0,0.034899496702501,0.041979747509148,0.0698131700797713
21.0000000000005,-342775.171558848,-4172616.42350288,5610645.57795915,4416.58741079566,-6080.60723635989,-4188.08485924992,1.03536140428134e-09,-3.89343297422516e-08,0.0314331243175048,-1.75788374014211e-09,1.16958705077107e-09,0.00349312467762565,2.63912154353564,-0.0911328028313894,-439.377252918304,0,0,0.0366437087065563,0.0444494794643825,0.0733038285837629
22.0000000000006,-338358.38647196,-4178694.61286673,5606454.23554619,4416.98190922654,-6075.7703307745,-4194.59913787263,2.2865871169947e-10,-3.83710887423871e-08,0.0331784297947523,-1.16423663720667e-09,1.17640579738655e-09,0.00349355590981871,2.63874327000319,-0.0957772428489689,-439.428116815461,0,0,0.03838780908752,0.0469194623612821,0.0767944870877529
